country,ISO Country code,population,id,surface area (Km2),Score,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth(annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Bolivia,BOL,"11,000,000",68,"1,083,301",0.4595365464077183,47.0,23.3,0.693,5.65,44.8,78.7,7219.0,4.8,6.4,446.0,7.3,228.0,,3.7,46.5,42.2,3,3,-0.3,-0.4,-0.9,-1.21,-0.66,11.4,23.1,19.0,85.7,44.1,40.0,53.1
Bosnia and Herzegovina,BIH,"3,900,000",70,"51,187",0.5568920453294626,33.8,25.3,0.768,5.09,50.2,42.2,10958.0,2.8,9.4,1102.0,,,14.0,25.8,41.5,44.1,4,4,-0.38,-0.5,-0.2,-0.21,-0.52,43.7,28.4,39.5,83.5,61.4,60.0,21.4
Botswana,BWA,"2,200,000",72,"566,730",0.27219984825258187,60.5,16.6,0.717,3.5,44.1,36.7,17042.0,-0.3,6.0,970.0,,,13.0,18.4,63.4,34.9,3,2,1.03,0.4,0.5,0.51,0.8,54.7,56.6,57.7,76.1,69.9,70.0,9.5
Brazil,BRA,"209,000,000",76,"8,358,140",0.5867026919672121,49.0,34.3,0.759,6.33,51.6,3141.3,15242.0,-3.8,8.9,1392.0,5.9,715.0,15.0,11.5,50.7,40.5,2,2,-0.41,-0.3,-0.1,-0.28,-0.53,55.5,31.4,55.8,70.6,51.4,50.0,10.7
Brunei,BRN,"400,000",0,"5,265",0.8240419967769017,,,0.853,,72.5,32.5,76884.0,-0.2,2.6,2083.0,3.4,1393.0,15.0,2.0,57.7,37.5,6,5,1.19,1.1,0.7,0.65,0.71,57.1,45.4,56.6,85.6,64.2,50.0,9.1
Bulgaria,BGR,"7,000,000",100,"108,489",0.5531174048831937,40.2,20.4,0.813,,59.9,144.6,20327.0,3.0,8.2,1492.0,,,15.0,8.0,60.5,36.3,2,2,0.37,0.3,0.6,-0.04,-0.16,42.5,38.2,63.6,90.9,68.3,60.0,23.8
Burkina Faso,BFA,"19,000,000",854,"273,800",0.3010961649628741,39.5,17.9,0.423,4.65,33.4,32.8,1782.0,4.0,5.4,96.0,4.6,32.0,8.0,3.0,83.7,23.3,4,3,-0.92,-0.6,-0.4,-0.4,-0.11,47.1,31.8,42.1,80.6,60.0,40.0,11.0
Burundi,BDI,"11,000,000",108,"25,680",0.22231254121477942,42.4,15.6,0.417,,28.3,7.9,814.0,-4.1,8.2,64.0,,,11.0,1.6,78.6,26.7,7,6,-1.97,-1.3,-0.8,-1.4,-1.28,21.7,26.2,17.6,71.0,50.9,30.0,36.4
Cabo Verde,CPV,"500,000",0,"4,033",0.5008347245409016,,,0.654,,,3.5,6662.0,1.8,4.9,310.0,5.0,175.0,13.0,10.5,71.5,30.8,1,1,0.9,0.2,-0.2,0.41,0.84,52.0,42.8,42.1,74.0,60.0,60.0,23.6
Cambodia,KHM,"16,000,000",116,"176,515",0.42286121093968915,37.9,25.6,0.582,4.59,38.5,59.0,3737.0,6.9,6.0,210.0,1.9,21.0,11.0,0.3,86.5,21.2,6,5,0.17,-0.7,-0.5,-1.06,-1.29,24.5,17.7,36.0,89.8,58.7,50.0,20.3
Cameroon,CMR,"24,000,000",120,"472,710",0.32509704313936927,44.6,16.7,0.556,5.07,32.1,76.9,3249.0,5.9,5.1,163.0,,,12.0,4.5,86.1,21.6,6,6,-1.08,-0.8,-0.8,-1.02,-1.18,29.4,23.4,40.6,73.7,51.9,50.0,31.1
Canada,CAN,"37,000,000",124,"9,093,507",0.7397499934998664,32.1,23.9,0.926,,76.9,1682.4,46437.0,1.2,10.4,4600.0,,,,7.1,52.3,39.9,1,1,1.11,1.9,1.9,1.8,1.92,77.1,78.3,87.5,76.7,77.7,80.0,26.3
Central African Republic,CAF,"4,900,000",140,"622,984",0.1678867231610839,43.6,,0.367,3.48,16.1,3.2,652.0,4.3,4.8,32.0,,,7.0,6.9,94.6,13.4,7,7,-1.94,-1.8,-1.5,-1.73,-1.17,28.2,24.6,17.9,64.6,49.2,30.0,8.6
