country,ISO Country code,population
Uganda,UGA,"43,000,000"
Ukraine,UKR,"45,000,000"
United Arab Emirates,ARE,"9,000,000"
United Kingdom,GBR,"66,000,000"
United States,USA,"326,000,000"
Uruguay,URY,"3,500,000"
Uzbekistan,UZB,"32,000,000"
Vanuatu,VUT,"300,000"
Venezuela,VEN,"32,000,000"
Vietnam,VNM,"96,000,000"
Yemen,YEM,"28,000,000"
Zambia,ZMB,"17,000,000"
Zimbabwe,ZWE,"17,000,000"
